,DailyTweetAmounts
"Mar 29, 2018",4
"Mar 28, 2018",9
"Mar 27, 2018",1
"Mar 26, 2018",5
"Mar 25, 2018",8
"Mar 24, 2018",1
"Mar 23, 2018",6
"Mar 22, 2018",6
"Mar 21, 2018",9
"Mar 20, 2018",1
"Mar 19, 2018",4
"Mar 18, 2018",3
"Mar 17, 2018",4
"Mar 16, 2018",4
"Mar 15, 2018",6
"Mar 14, 2018",9
"Mar 13, 2018",9
"Mar 12, 2018",7
"Mar 11, 2018",5
"Mar 10, 2018",11
"Mar 9, 2018 ",5
"Mar 8, 2018 ",6
"Mar 7, 2018 ",5
"Mar 6, 2018 ",9
"Mar 5, 2018 ",5
"Mar 4, 2018 ",2
"Mar 3, 2018 ",4
"Mar 2, 2018 ",8
"Mar 1, 2018 ",11
"Feb 28, 2018",8
"Feb 27, 2018",10
"Feb 25, 2018",1
"Feb 24, 2018",15
"Feb 23, 2018",9
"Feb 22, 2018",10
"Feb 21, 2018",6
"Feb 20, 2018",13
"Feb 19, 2018",5
"Feb 18, 2018",11
"Feb 17, 2018",9
"Feb 16, 2018",4
"Feb 15, 2018",7
"Feb 14, 2018",4
"Feb 13, 2018",2
"Feb 12, 2018",3
"Feb 11, 2018",4
"Feb 10, 2018",9
"Feb 9, 2018 ",3
"Feb 8, 2018 ",6
"Feb 7, 2018 ",5
"Feb 6, 2018 ",7
"Feb 5, 2018 ",6
"Feb 4, 2018 ",2
"Feb 3, 2018 ",7
"Feb 2, 2018 ",5
"Feb 1, 2018 ",4
"Jan 30, 2018",1
"Jan 29, 2018",1
"Jan 28, 2018",2
"Jan 27, 2018",5
"Jan 26, 2018",7
"Jan 25, 2018",3
"Jan 24, 2018",4
"Jan 23, 2018",7
"Jan 22, 2018",4
"Jan 21, 2018",3
"Jan 20, 2018",14
"Jan 19, 2018",7
"Jan 18, 2018",9
"Jan 17, 2018",8
"Jan 16, 2018",9
"Jan 15, 2018",12
"Jan 14, 2018",7
"Jan 13, 2018",10
"Jan 12, 2018",7
"Jan 11, 2018",14
"Jan 10, 2018",8
"Jan 9, 2018 ",8
"Jan 8, 2018 ",5
"Jan 7, 2018 ",7
"Jan 6, 2018 ",5
"Jan 5, 2018 ",5
"Jan 4, 2018 ",9
"Jan 3, 2018 ",5
"Jan 2, 2018 ",16
"Jan 1, 2018 ",3
"Dec 31, 2017",8
"Dec 30, 2017",6
"Dec 29, 2017",8
"Dec 28, 2017",10
"Dec 27, 2017",4
"Dec 26, 2017",3
"Dec 25, 2017",3
"Dec 24, 2017",6
"Dec 23, 2017",6
"Dec 22, 2017",11
"Dec 21, 2017",5
"Dec 20, 2017",6
"Dec 19, 2017",4
"Dec 18, 2017",13
"Dec 17, 2017",3
"Dec 16, 2017",3
"Dec 15, 2017",9
"Dec 14, 2017",7
"Dec 13, 2017",4
"Dec 12, 2017",6
"Dec 11, 2017",1
"Dec 10, 2017",3
"Dec 9, 2017 ",13
"Dec 8, 2017 ",10
"Dec 7, 2017 ",9
"Dec 6, 2017 ",5
"Dec 5, 2017 ",2
"Dec 4, 2017 ",4
"Dec 3, 2017 ",10
"Dec 2, 2017 ",8
"Dec 1, 2017 ",6
"Nov 30, 2017",11
"Nov 29, 2017",22
"Nov 28, 2017",18
"Nov 27, 2017",5
"Nov 26, 2017",4
"Nov 25, 2017",5
"Nov 24, 2017",6
"Nov 23, 2017",11
"Nov 22, 2017",12
"Nov 21, 2017",2
"Nov 20, 2017",2
"Nov 19, 2017",6
"Nov 18, 2017",3
"Nov 17, 2017",5
"Nov 16, 2017",8
"Nov 15, 2017",15
"Nov 14, 2017",9
"Nov 13, 2017",5
"Nov 12, 2017",4
"Nov 11, 2017",8
"Nov 10, 2017",8
"Nov 9, 2017 ",5
"Nov 8, 2017 ",4
"Nov 7, 2017 ",17
"Nov 6, 2017 ",8
"Nov 5, 2017 ",5
"Nov 4, 2017 ",6
"Nov 3, 2017 ",16
"Nov 2, 2017 ",13
"Nov 1, 2017 ",19
"Oct 31, 2017",17
"Oct 30, 2017",4
"Oct 29, 2017",6
"Oct 28, 2017",9
"Oct 27, 2017",16
"Oct 26, 2017",9
"Oct 25, 2017",16
"Oct 24, 2017",8
"Oct 23, 2017",4
"Oct 22, 2017",3
"Oct 21, 2017",14
"Oct 20, 2017",8
"Oct 19, 2017",9
"Oct 18, 2017",16
"Oct 17, 2017",11
"Oct 16, 2017",7
"Oct 15, 2017",4
"Oct 14, 2017",9
"Oct 13, 2017",16
"Oct 12, 2017",10
